path	dimensions	frames
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-02.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-03.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-04.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-05.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-06.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-07.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-08.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-09.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-10.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-11.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/attack/jellyfish-attack-12.png	416x357	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-01.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-02.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-03.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-04.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-05.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-06.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-07.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-08.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-09.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-10.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-11.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/idle/jellyfish-idle-12.png	270x307	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/jellyfish.png	259x304	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-01.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-02.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-03.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-04.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-05.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-06.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-07.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-08.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-09.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-10.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-11.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/cnidarians/jellyfish/swim/jellyfish-swim-12.png	323x295	1
assets/game/2d/underwater/deep-diver/creatures/crustaceans/crab/crab-walk-atlas.png	256x128	1
assets/game/2d/underwater/deep-diver/creatures/crustaceans/crab/frames/crab-walk-01.png	64x64	1
assets/game/2d/underwater/deep-diver/creatures/crustaceans/crab/frames/crab-walk-02.png	64x64	1
assets/game/2d/underwater/deep-diver/creatures/crustaceans/mantis-shrimp/mantis-shrimp-2x.png	112x64	1
assets/game/2d/underwater/deep-diver/creatures/crustaceans/mantis-shrimp/mantis-shrimp.png	56x32	1
assets/game/2d/underwater/deep-diver/creatures/echinoderms/crown-of-thorns-starfish.png	16x16	1
assets/game/2d/underwater/deep-diver/creatures/echinoderms/ochre-sea-star.png	16x16	1
assets/game/2d/underwater/deep-diver/creatures/echinoderms/purple-sea-urchin.png	16x16	1
assets/game/2d/underwater/deep-diver/creatures/experimental/water-elemental/water-elemental-16x16.png	112x15	1
assets/game/2d/underwater/deep-diver/creatures/megafauna/vaquita/vaquita-porpoise.png	1920x880	1
assets/game/2d/underwater/deep-diver/creatures/megafauna/whale/whale.png	400x400	1
assets/game/2d/underwater/deep-diver/creatures/mollusks/nautilus/nautilus.png	37x24	1
assets/game/2d/underwater/deep-diver/creatures/shark/variants/shark-001-64px.gif	64x64	1
